{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{warriors}	{infantry}	3	3	5+	–	3	60	2/–	–
{slingers}	{infantry}	2/1	3	–	–	3	40	1/6	–
{ogres}	{infantry}	4	4	5+	–	3	105	–/2	<<ogres>>
{wolfhounds}	{cavalry}	3	3	–	–	3	40	–/6	–
{cavalry}	{cavalry}	3	3	5+	–	3	90	–/4	–
{chariots}	{chariot}	3	3	5+	–	3	95	1/4	–
{giant}	{monster}	8	8	5+	–	1	135	–/1	<<giant>>
{giant-eagles}	{monster}	2	3	6+	–	3	70	–/1	<<giant-eagles>>
{fenbeast}	{monster}	6	4	5+	–	1	0	–/1	<<fenbeast>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/2	–
{druid}	{wizard}	+0	–	–	7	1	45	–/1	–
{giant-eagle}	{monstrous-mount}	+2	–	–	–	–	+20	–/1	<<giant-eagle-mount>>
{chariot}	{chariot-mount}	+1	–	–	–	–	+10	–/1	<<chariot-mount>>
