{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{spearmen}	{infantry}	3	3	6+	–	3	45	2/–	–
{bowmen}	{infantry}	3/1	3	–	–	3	55	2/–	–
{guards}	{infantry}	3	3	5+	–	3	65	–/4	<<guards>>
{knights}	{cavalry}	3	3	4+	–	3	110	–/–	–
{desert-riders}	{cavalry}	3/1	3	6+	–	3	75	–/–	<<desert-riders>>
{camel-riders}	{cavalry}	3/1	3	5+	–	3	100	–/2	<<camel-riders>>
{magic-carpets}	{cavalry}	1/2	3	6+	–	3	85	–/1	<<magic-carpets>>
{elephants}	{monster}	5	4	5+	–	3	200	–/1	<<elephants>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/2	–
{wizard}	{wizard}	+0	–	–	7	1	45	–/1	–
{flying-carpet}	{chariot-mount}	+0	–	–	–	–	+10	–/1	<<flying-carpet>>
{elephant}	{monstrous-mount}	+2	–	–	–	–	+65	–/1	<<elephant>>
{djinn}	{monstrous-mount}	+2/2	–	–	–	–	+90	–/1	<<djinn>>
