{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{gor}	{infantry}	4	3	6+	–	3	60	2/–	<<gor-ungor>>
{ungor}	{infantry}	3/1	3	–	–	3	45	2/–	<<gor-ungor>>
{bestigors}	{infantry}	4	3	5+	–	3	75	–/2	–
{minotaurs}	{infantry}	5	4	–	–	3	80	–/2	<<minotaurs>>
{centigors}	{cavalry}	3/1	3	6+	–	3	75	–/2	<<centigors>>
{chaos-hounds}	{cavalry}	3	3	–	–	3	40	–/6	–
{tuskgor-chariots}	{chariot}	3	3	5+	–	3	95	–/4	–
{dragon-ogres}	{monster}	6	4	5+	–	3	230	–/1	<<dragon-ogres>>
{chaos-spawn}	{monster}	3/3	4	3+	–	1	110	–/2	<<chaos-spawn>>
{dragon-ogre-shaggoth}	{monster}	8	8	5+	–	1	160	–/1	<<dragon-ogre-shaggoth>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{beastlord}	{general}	+2	–	–	9	1	125	1	–
{doombull}	{hero}	+2	–	–	6	1	80	0–1	<<doombull>>
{wargor}	{hero}	+1	–	–	8	1	80	–/1	–
{bray-shaman}	{wizard}	+0	–	–	8	1	80	–/1	–
{tuskgor-chariot}	{chariot-mount}	+1	–	–	–	–	+10	–/1	<<tuskgor-chariot>>
