{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{bowmen}	{infantry}	3/1	3	–	–	3	55	–/–	–
{men-at-arms}	{infantry}	3	3	6+	–	3	45	1/–	–
{peasants}	{infantry}	3	3	–	–	3	30	–/4	<<peasants>>
{squires}	{cavalry}	3/1	3	6+	–	3	90	1/4	–
{knights}	{cavalry}	3	3	4+	–	3	110	1/–	<<knights>>
{grail-knights}	{cavalry}	3	3	4+	–	3	120	–/1	<<knights>>, <<grail-knights>>
{pegasus-knights}	{monster}	2	3	5+	–	3	80	–/1	<<knights>>, <<pegasus-knights>>
{trebuchet}	{artillery}	1/4	4	–	–	1	100	–/1	<<trebuchet>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/2	–
{enchantress}	{wizard}	+0	–	–	7	1	45	–/1	–
{unicorn}	{special-mount}	+1	–	–	–	–	+15	–/1	<<unicorn>>
{pegasus}	{monstrous-mount}	+1	–	–	–	–	+15	–/1	<<pegasus>>
{hippogriff}	{monstrous-mount}	+2	–	–	–	–	+80	0–1	<<hippogriff>>
{grail-reliquae}	{special-bonus}	–	–	–	–	–	+60	0–1	<<grail-reliquae>>
