{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{bannermen}	{infantry}	3	3	6+	–	3	50	3/–	–
{crossbows}	{infantry}	2/1	3	–	–	3	40	1/–	–
{handguns}	{infantry}	2/1	3	–	–	3	50	–/–	<<handguns>>
{terracotta-warriors}	{infantry}	2	3	6+	–	3	30	–/6	<<terracotta-warriors>>
{maneaters}	{infantry}	4	4	4+	–	3	140	–/1	–
{chariots}	{chariot}	3/1	3	5+	–	3	110	–/1	–
{imperial-cavalry}	{cavalry}	3	3	5+	–	3	90	–/2	–
{hu-cavalry}	{cavalry}	2/1	3	6+	–	3	60	–/3	<<hu-cavalry>>
{rocket-launcher}	{artillery}	1/1D6	2	–	–	1	55	–/1	<<rocket-launcher>>
{triple-bows}	{artillery}	1/2+skewer	2	–	–	2	65	–/1	<<triple-bows>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/2	–
{sorcerer}	{wizard}	–	–	–	7	1	45	–/1	–
{chariot}	{chariot-mount}	+1	–	–	–	–	+10	–/1	–
{celestial-dragon}	{monstrous-mount}	+3	–	–	–	–	+100	0–1	<<celestial-dragon>>
{tiger}	{special-mount}	+2	–	–	–	–	+20	–/1	<<tiger>>
{qilin}	{special-mount}	+1	–	–	–	–	+15	–/1	<<qilin>>
