{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{chaos-dwarfs}	{infantry}	3	4	4+	–	3	110	2/4	–
{blunderbusses}	{infantry}	3/2	4	6+	–	3	90	–/2	<<blunderbusses>>
{hobgoblins}	{infantry}	3/1	3	–	–	3	45	–/–	<<hobgoblins>>
{black-orcs}	{infantry}	4	4	5+	–	3	110	–/1	–
{orc-slaves}	{infantry}	4	3	–	–	3	40	–/2	<<orc-slaves>>
{hobgoblin-wolf-riders}	{cavalry}	3/1	3	6+	–	3	75	–/–	<<hobgoblins>>
{bull-centaurs}	{cavalry}	4	4	5+	–	3	140	–/2	–
{earthshaker-cannon}	{artillery}	1/3	3	6+	–	1	90	–/1	<<earthshaker-cannon>>
{death-rocket}	{artillery}	1/D6	2	6+	–	1	60	–/1	<<death-rocket>>
{bolt-thrower}	{artillery}	1/2+skewer	2	–	–	2	65	–/1	<<bolt-thrower>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/1	–
{sorcerer}	{wizard}	+1	–	–	8	1	90	–/1	–
{great-taurus}	{monstrous-mount}	+2	–	–	–	–	+80	–/1	<<great-taurus>>
{lammasu}	{monstrous-mount}	+1	–	–	–	–	+35	0–1	<<lammasu>>
{sorcerer-lord}	{special-type}	–	–	–	–	–	+25	0–1	<<sorcerer-lord>>
