{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{daemon-hordes}	{infantry}	4	3	5+	–	3	75	3/–	–
{daemon-swarm}	{infantry}	2	4	–	–	3	45	–/4	<<daemon-swarms>>
{daemon-cavalry}	{cavalry}	4	3	5+	–	3	110	–/3	–
{daemon-hounds}	{cavalry}	3	3	5+	–	3	90	–/2	–
{daemon-chariots}	{chariot}	3	3	5+	–	3	95	–/3	–
{daemon-beasts}	{monster}	5	4	5+	–	3	200	–/1	–
{daemon-flyers}	{monster}	2	3	5+	–	3	80	–/1	<<daemon-flyers>>
{greater-daemon}	{monster}	8	6	4+	–	1	280	–/1	<<greater-daemons>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{daemon-overlord}	{general}	+2	–	–	9	1	125	1	<<daemon-overlord>>
{daemon-lord-hero}	{hero}	+1	–	–	8	1	80	–/1	–
{daemon-sorcerer}	{wizard}	+1	–	–	8	1	90	–/1	–
{daemonic-wings}	{special-type}	–	–	–	–	–	+10	–/1	<<daemonic-wings>>
{favour-of-the-gods}	{special-type}	+1	–	–	–	–	+50	–/1	<<favour-of-the-gods>>
{chariot}	{chariot-mount}	+1	– 	– 	– 	– 	+5	–/1	<<chariot-mount>>
{wizard-powers}	{special-type}	–	–	–	–	–	+25	0–1	<<daemon-overlord>>
