{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{pikemen}	{infantry}	3	3	6+	–	3	50	2/–	<<pikemen>>
{crossbowmen}	{infantry}	3/1	3	–	–	3	55	2/–	–
{handgunners}	{infantry}	3/1	3	–	–	3	65	–/2	<<handgunners>>
{swordsmen}	{infantry}	3	3	6+	–	3	45	–/4	–
{ogres}	{infantry}	4	4	5+	–	3	105	–/1	<<ogres>>
{dwarfs}	{infantry}	3	4	4+	–	3	110	–/2	–
{marauders}	{infantry}	3	3	5+	–	3	60	–/2	–
{light-cavalry}	{cavalry}	3/1	3	6+	–	3	75	–/4	<<light-cavalry>>
{knights}	{cavalry}	3	3	4+	–	3	110	–/2	–
{galloper-guns}	{artillery}	1/2+bounce	2	–	–	2	85	–/1	<<galloper-guns>>
{giant}	{monster}	8	8	5+	–	1	135	–/1	<<giant>>
{birdmen}	{infantry}	2/1	3	6+	–	3	85	–/1	<<birdmen>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/2	–
{paymaster}	{hero}	+1	–	–	8	1	80	0–1	<<paymaster-pay-wagon>>
{wizard}	{wizard}	+0	–	–	7	1	45	–/1	–
{griffon}	{monstrous-mount}	+2	–	–	–	–	+80	–/1	<<griffon>>
{pay-wagon}	{chariot-mount}	+1	–	–	–	–	+20	0–1	<<paymaster-pay-wagon>>
