{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{warriors}	{infantry}	3	4	4+	–	3	110	2/–	–
{miners}	{infantry}	3	4	6+	–	3	60	–/2	–
{handgunners}	{infantry}	3/1	4	6+	–	3	90	–/–	<<handgunners>>
{rangers}	{infantry}	3/1	4	5+	–	3	110	–/2	<<rangers>>
{troll-slayers}	{infantry}	5	4	–	–	3	80	–/2	<<troll-slayers>>
{cannon}	{artillery}	1/2+bounce	2	6+	–	2	90	–/1	<<cannon>>
{flame-cannon}	{artillery}	1/2D6	2	6+	–	1	50	–/1	<<flame-cannon>>
{gyrocopter}	{machine}	1/3	4	5+	–	1	75	–/1	<<gyrocopter>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	10	1	155	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/1	<<hero>>
{runesmith}	{hero}	+1	–	–	8	1	90	–/1	<<runesmith>>
{anvil}	{special-type}	+1	–	–	–	–	+30	0–1	<<anvil>>
