{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{halberdiers}	{infantry}	3	3	6+	–	3	45	2/–	–
{handgunners}	{infantry}	3/1	3	–	–	3	65	–/3	<<handgunners>>
{crossbowmen}	{infantry}	3/1	3	–	–	3	55	2/–	–
{flagellants}	{infantry}	5	3	–	–	3	70	–/1	<<flagellants>>
{skirmishers}	{infantry}	4	3	–/6+	–	1	20	–/–	<<skirmishers>>
{knights}	{cavalry}	3	3	4+	–	3	110	–/–	–
{pistoliers}	{cavalry}	3/1	3	5+	–	3	95	–/4	<<pistoliers>>
{helblaster}	{artillery}	1/8–4–2	2	–	–	1	50	–/1	<<helblaster>>
{cannon}	{artillery}	1/2+bounce	2	–	–	2	85	–/1	–
{steam-tank}	{machine}	3/3	4	3+	–	1	130	–/1	<<steam-tank>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/2	–
{wizard}	{wizard}	+0	–	–	7	1	45	–/1	–
{griffon}	{monstrous-mount}	+2	–	–	–	–	+80	–/1	<<griffon>>
{war-altar}	{chariot-mount}	+1	–	–	–	–	+15	0–1	<<war-altar>>
