{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{spearmen}	{infantry}	3	3	5+	–	3	60	2/–	–
{archers}	{infantry}	3/1	3	6+	–	3	75	1/–	<<archers>>
{silver-helms}	{cavalry}	3	3	4+	–	3	110	–/3	–
{reavers}	{cavalry}	3/1	3	6+	–	3	90	–/3	–
{chariots}	{chariot}	3	3	5+	–	3	95	–/3	–
{giant-eagles}	{monster}	2	3	6+	–	3	70	–/1	<<giant-eagles>>
{dragon-rider}	{monster}	6/3	6	4+	–	1	270	–/1	<<dragons>>
{elven-bolt-thrower}	{artillery}	1/3	2	–	–	2	55	–/1	<<elven-bolt-thrower>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	10	1	180	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/1	–
{wizard}	{wizard}	+0	–	–	8	1	90	–/1	<<wizard>>
{giant-eagle}	{monstrous-mount}	+2	–	–	–	–	+20	–/1	<<giant-eagle-mount>>
{dragon}	{monstrous-mount}	+3/+3	–	–	–	–	+100	–/1	<<dragons>>
{chariot}	{chariot-mount}	+1	–	–	–	–	+10	–/1	<<chariot-mount>>
