{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{winged-lancers}	{cavalry}	3	3	5+	–	3	110	–/3	<<winged-lancers>>
{horse-archers}	{cavalry}	3/1	3	6+	–	3	75	2/–	<<horse-archers-cossacks>>
{cossacks}	{cavalry}	3/1	3	5+	–	3	95	–/2	<<horse-archers-cossacks>>
{bowmen}	{infantry}	3/1	3	–	–	3	55	–/–	<<bowmen>>
{red-guard}	{infantry}	3/1	3	5+	–	3	90	–/1	<<red-guard>>
{axemen}	{infantry}	3	3	6+	–	3	45	2/–	–
{bears}	{infantry}	5	4	–	–	3	90	–/1	<<bears>>
{war-wagon}	{artillery}	4/4	4	4+/–	–	2	125	–/1	<<war-wagon>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/2	–
{shaman}	{wizard}	+0	–	–	7	1	45	–/1	–
{bear}	{special-mount}	+1	–	–	–	–	+10	–/1	<<bear-mount>>
{yozhin}	{special-mount}	+1	–	–	–	–	+40	0–1	<<yozhin>>
{tzarina}	{special-type}	–	–	–	–	–	+25	0–1	<<tzarina>>
