{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{skinks}	{infantry}	2/1	3	–	–	3	35	2/–	<<skinks>>
{saurus}	{infantry}	4	3	5+	–	3	75	2/–	<<reptilian>>
{temple-guard}	{infantry}	4	4	5+	–	3	110	–/1	<<reptilian>>
{salamanders}	{infantry}	2/2	3	–	–	1	25	–/2	<<salamander>>
{kroxigor}	{infantry}	5	3	4+	–	3	135	–/2	<<reptilian>>
{cold-one-riders}	{cavalry}	4	3	4+	–	3	140	–/2	<<reptilian>>
{terradons}	{monster}	2/1	3	6+	–	3	85	–/1	<<terradon>>
{stegadon}	{monster}	10/3	10	4+	–	1	225	–/1	<<stegadon>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{slann-mage-palanquin}	{general}	+2	–	–	–	1	95	1	<<slann-mage>>
{saurus-hero}	{hero}	+2	–	–	6	1	45	–/1	–
{skink-hero}	{hero}	+0	–	–	8	1	70	–/3	–
{skink-shaman}	{wizard}	+0	–	–	6	1	30	–/1	–
{stegadon-mount}	{monstrous-mount}	+3	–	–	–	–	+90	–/1	<<stegadon-mount>>
{carnosaur}	{monstrous-mount}	+2	–	–	–	–	+65	–/1	<<carnosaur>>
