{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{ashigaru}	{infantry}	3	3	6+	–	3	45	1/–	–
{ashigaru-bowmen}	{infantry}	3/1	3	–	–	3	55	–/–	–
{ashigaru-teppo}	{infantry}	3/1	3	–	–	3	65	–/–	<<ashigaru-teppo>>
{samurai}	{infantry}	4	3	5+	–	3	80	2/4	<<bushido>>
{mikata}	{infantry}	5	3	–	–	3	70	–/2	<<mikata>>
{ninja}	{infantry}	3/1	3	6+	–	3	60	–/2	<<ninja>>
{oni}	{infantry}	4	4	5+	–	3	110	–/1	<<temple-daemons>>
{samurai-cavalry}	{cavalry}	4	3	5+	–	3	110	–/3	<<bushido>>
{komainu}	{cavalry}	2	3	–	–	3	40	–/3	<<temple-daemons>>, <<komainu>>
{tengu}	{monster}	2	3	5+	–	3	80	–/1	<<temple-daemons>>, <<tengu>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{shogun}	{general}	+2	–	–	9	1	125	1	<<shogun>>
{daimyo}	{hero}	+1	–	–	8	1	80	–/1	–
{shugenja}	{hero}	+1	–	–	8	1	90	–/1	<<shugenja>>
{tatsu}	{monstrous-mount}	+2	–	–	–	–	+80	–/1	<<tatsu>>
{shrine}	{special-type}	+0	–	–	–	–	+30	0–1	<<shrine>>
