{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{bondsmen}	{infantry}	3	3	5+	–	3	60	2/–	–
{huscarls}	{infantry}	4	3	4+	–	3	110	1/4	–
{huntsmen}	{infantry}	3/1	3	–	–	3	55	–/–	–
{berserkers}	{infantry}	5	3	–	–	3	70	–/1	<<berserkers>>
{ulfwerener}	{infantry}	4	4	6+	–	3	110	–/1	<<ulfwerener>>
{cavalry}	{cavalry}	3	3	5+	–	3	90	–/4	–
{storm-giant}	{monster}	8	8	5+	–	1	135	–/1	<<storm-giant>>
{war-mammoth}	{monster}	8	10	5+	–	1	180	–/1	<<war-mammoth>>
{valkyries}	{monster}	2	3	5+	–	3	80	–/1	<<valkyries>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{jarl}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/1	–
{shaman}	{wizard}	+1	–	–	8	1	90	–/1	–
{were-kin}	{special-type}	+1	–	–	–	–	+40	–/1	<<were-kin>>
{horn-of-resounding}	{chariot-mount}	+1	–	–	–	–	+20	0–1	<<horn-of-resounding>>
