{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{zealots}	{infantry}	3	3	–	–	3	35	3/–	<<zealots>>
{halberdiers}	{infantry}	3	3	6+	–	3	45	–/4	–
{crossbowmen}	{infantry}	3/1	3	–	–	3	55	–/2	–
{handgunners}	{infantry}	3/1	3	–	–	3	65	–/4	<<handgunners>>
{flagellants}	{infantry}	5	3	–	–	3	70	–/4	<<flagellants>>
{warhounds}	{infantry}	3	3	–	–	1	20	–/–	<<warhounds>>
{knights}	{cavalry}	3	3	4+	–	3	110	–/1	–
{pistoliers}	{cavalry}	3/1	3	5+	–	3	95	–/1	<<pistoliers>>
{cannon}	{artillery}	1/2+bounce	2	–	–	2	85	–/1	<<cannons>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{general}	{general}	+2	–	–	9	1	125	1	–
{hero}	{hero}	+1	–	–	8	1	80	–/2	–
{warrior-priest}	{wizard}	+1	–	–	7	1	55	–/1	–
{war-altar}	{chariot-mount}	+2	–	–	–	–	+15	–/1	<<war-altar>>
